ROK	R	2003-01-31	Merge with [ITR]; change all [ROK] to [ITR]		
SAX	R	2003-01-31	Merge with [ENG]; change all [SAX] to [ENG]		
SBV	R	2003-01-31	Merge with [JAX]; change all [SBV] to [JAX]		
SOF	R	2003-01-31	Merge with [TBZ]; change all [SOF] to [TBZ]		
SRR	R	2003-01-31	Merge with [NAB]; change all [SRR] to [NAB]		
SYU	R	2003-01-31	Merge with [MUI]; change all [SYU] to [MUI]		
TCR	R	2003-01-31	Merge with [AUP]; change all [TCR] to [AUP]		
TKO	R	2003-01-31	Merge with [OPK; change all [TKO] to [OPK]		
YRM	R	2003-01-31	Merge with [SUY]; change all [YRM] to [SUY]		
ACF	U	2003-01-31	Change name LESSER ANTILLEAN CREOLE FRENCH to ST. LUCIAN CREOLE FRENCH		
ASX	U	2003-01-31	Change name ASAT to MURATAYAK		
AUK	U	2003-01-31	Change name WANIB to HEYO		
AUP	U	2003-01-31	Change name ATURU to MAKAYAM		
AZZ	U	2003-01-31	Change name NAHUATL, PUEBLA, SIERRA to NAHUATL, SIERRA PUEBLA		
BBV	U	2003-01-31	Change name BARIM to KARNAI		
BCL	U	2003-01-31	Change name PSOHOH to AIGON		
BHQ	U	2003-01-31	Change name TUKANGBESI SOUTH to TUKANG BESI SOUTH		
BLS	U	2003-01-31	Change name BALAESAN to BALAESANG		
BLY	U	2003-01-31	Change name BOULBA to NOTRE		
BMH	U	2003-01-31	Change name BEMAL to KEIN		
BOX	U	2003-01-31	Change name BWAMU to BUAMU		
BPY	U	2003-01-31	Change name BISHNUPRIYA to BISHNUPRIA MANIPURI		
BUO	U	2003-01-31	Change name BUIN to TEREI		
BXW	U	2003-01-31	Change name BANKAGOMA to BANKAGOOMA		
BZE	U	2003-01-31	Change name BOZO, SOROGAMA to BOZO, JENAAMA		
BZL	U	2003-01-31	Change name BOLANO to BOANO		
CCO	U	2003-01-31	Change name CHINANTECO, COMALTEPEC to CHINANTEC, COMALTEPEC		
CHD	U	2003-01-31	Change name CHONTAL DE OAXACA, SIERRA to CHONTAL, HIGHLAND OAXACA		
CHJ	U	2003-01-31	Change name CHINANTECO, OJITLAN to CHINANTEC, OJITLAN		
CHQ	U	2003-01-31	Change name CHINANTECO, QUIOTEPEC to CHINANTEC, QUIOTEPEC		
CHV	U	2003-01-31	Change name CHINANTECO, VALLE NACIONAL to CHINANTEC, VALLE NACIONAL		
CHZ	U	2003-01-31	Change name CHINANTECO, OZUMACIN to CHINANTEC, OZUMACIN		
CIP	U	2003-01-31	Change name CHIAPANECO to CHIAPANEC		
CLE	U	2003-01-31	Change name CHINANTECO, LEALAO to CHINANTEC, LEALAO		
CLO	U	2003-01-31	Change name CHONTAL DE OAXACA, COSTA to CHONTAL, LOWLAND OAXACA		
CLY	U	2003-01-31	Change name CHATINO, SIERRA ORIENTAL to CHATINO, EASTERN HIGHLAND		
CNL	U	2003-01-31	Change name CHINANTECO, LALANA to CHINANTEC, LALANA		
CNM	U	2003-01-31	Change name CHUJ, SAN MATEO IXTATAN to CHUJ, IXTATAN		
CNT	U	2003-01-31	Change name CHINANTECO, TEPETOTUTLA to CHINANTEC, TEPETOTUTLA		
COR	U	2003-01-31	Change name CORA to CORA, EL NAYAR		
COZ	U	2003-01-31	Change name CHOCHOTECO to CHOCHOTEC		
CPA	U	2003-01-31	Change name CHINANTECO, PALANTLA to CHINANTEC, PALANTLA		
CSA	U	2003-01-31	Change name CHINANTECO, CHILTEPEC to CHINANTEC, CHILTEPEC		
CSO	U	2003-01-31	Change name CHINANTECO, SOCHIAPAN to CHINANTEC, SOCHIAPAN		
CTE	U	2003-01-31	Change name CHINANTECO, TEPINAPA to CHINANTEC, TEPINAPA		
CTL	U	2003-01-31	Change name CHINANTECO, TLACOATZINTEPEC to CHINANTEC, TLACOATZINTEPEC		
CTP	U	2003-01-31	Change name CHATINO, SIERRA OCCIDENTAL to CHATINO, WESTERN HIGHLAND		
CUS	U	2003-01-31	Change name CHINANTECO, USILA to CHINANTEC, USILA		
CUX	U	2003-01-31	Change name CUICATECO, TEPEUXILA to CUICATEC, TEPEUXILA		
DCR	U	2003-01-31	Change name DUTCH CREOLE to NEGERHOLLANDS 		
DMS	U	2003-01-31	Change name DAMPELASA to DAMPELAS		
DUX	U	2003-01-31	Change name DUUNGOMA to DUUNGOOMA		
FRE	U	2003-01-31	Change name FRENCH GUIANESE CREOLE FRENCH to GUIANESE CREOLE FRENCH		
FUE	U	2003-01-31	Change name FULFULDE, BENIN-TOGO to FULFULDE, BORGU		
GBX	U	2003-01-31	Change name GBE, XWLA EASTERN to GBE, EASTERN XWLA		
GKA	U	2003-01-31	Change name GUIARAK to GUYA		
GRG	U	2003-01-31	Change name GIRA to MADI		
HUS	U	2003-01-31	Change name HUASTECO, TANTOYUCA to HUASTECO, VERACRUZ		
HUT	U	2003-01-31	Change name HUMLA BHOTIA to HUMLA		
IXC	U	2003-01-31	Change name IXCATECO to IXCATEC		
JAI	U	2003-01-31	Change name JACALTECO, WESTERN to JACALTEC, WESTERN		
JAM	U	2003-01-31	Change name SOUTHWESTERN CARIBBEAN CREOLE ENGLISH to JAMAICAN CREOLE ENGLISH		
JMA	U	2003-01-31	Change name JIMAJIMA to DIMA		
JMC	U	2003-01-31	Change name MACHAMBE to MACHAME		
JMX	U	2003-01-31	Change name MIXTECO, JUXTLAHUACA OESTE to MIXTEC, WESTERN JUXTLAHUACA		
KBV	U	2003-01-31	Change name KAMBERATARO to DERA		
KHC	U	2003-01-31	Change name TUKANGBESI NORTH to TUKANG BESI NORTH		
KIC	U	2003-01-31	Change name KIKAPU to KIKAPOO		
KLJ	U	2003-01-31	Change name KHALAJ to KHALAJ, TURKIC		
KPO	U	2003-01-31	Change name AKPOSO to IKPOSO		
LOY	U	2003-01-31	Change name LOPA to LOWA		
MAB	U	2003-01-31	Change name MIXTECO, YUTANDUCHI to MIXTEC, YUTANDUCHI		
MAJ	U	2003-01-31	Change name MAZATECO, JALAPA DE DIAZ to MAZATEC, JALAPA DE DIAZ		
